feature,importance
user_return_rate,5.437081875754718
product_risk_score,5.032157779778941
low_engagement_flag,0.397816021832033
avg_scroll_depth,0.27018347298430256
engagement_score,0.2517192882087758
impulsiveness_flag,0.16630006659374535
hover_intensity,0.07614693731303815
scroll_depth,0.04868580276972283
time_on_page,0.034119606146074205
wishlist_indicator,0.020383937254834308
add_to_wishlist,0.020383937254818286
review_hover_count,0.017369546426385087
user_purchase_count,0.011923283845430838
cart_abandonment,0.010648882465913882
abandonment_risk,0.01064888246590975
images_per_time,0.009926491700522306
affinity_sports,0.0076594084178517145
num_images_viewed,0.007284896467436295
affinity_beauty,0.005594955155875077
affinity_home,0.003995183866763009
affinity_toys,0.003719230211152265
affinity_automotive,0.0034957945838480953
affinity_electronics,0.003264381250500101
affinity_books,0.0015220726552981154
avg_time_on_page,0.0009993146243383062
category_encoded,0.0005796600957709626
affinity_clothing,0.00024331961461052893
